Order_ID,Date,Drug_Name,Category,Region,Distributor,Quantity,Unit_Price,Expiry_Days_Left,Total_Sales,Expired_Stock
1001,2025-01-01,Amoxicillin,Injection,Maharashtra,Apollo Pharmacy,358,66.43,190,23781.94,No
1002,2025-01-01,Insulin,Syrup,Delhi,Netmeds,452,286.67,115,129574.84,No
1003,2025-01-01,Metformin,Syrup,Karnataka,MedPlus,330,15.8,353,5214.0,No
1004,2025-01-01,Insulin,Capsule,Delhi,MedPlus,77,247.73,94,19075.21,No
1005,2025-01-02,Insulin,Tablet,Delhi,Wellness Forever,37,298.62,354,11048.94,No
1006,2025-01-02,Azithromycin,Capsule,Gujarat,Netmeds,283,79.74,51,22566.42,No
1007,2025-01-02,Metformin,Tablet,Gujarat,Wellness Forever,291,34.69,366,10094.79,No
1008,2025-01-02,Metformin,Tablet,Karnataka,Wellness Forever,369,13.41,70,4948.29,No
1009,2025-01-03,Metformin,Syrup,Tamil Nadu,MedPlus,412,27.38,259,11280.56,No
1010,2025-01-03,Insulin,Injection,Gujarat,Wellness Forever,320,251.08,211,80345.6,No
1011,2025-01-03,Amoxicillin,Tablet,Tamil Nadu,Apollo Pharmacy,128,55.69,309,7128.32,No
1012,2025-01-03,Metformin,Tablet,Maharashtra,Wellness Forever,389,27.94,-6,10868.66,Yes
1013,2025-01-04,Insulin,Capsule,Gujarat,Netmeds,450,323.11,381,145399.5,No
1014,2025-01-04,Azithromycin,Tablet,Gujarat,Apollo Pharmacy,143,119.3,368,17059.9,No
1015,2025-01-04,Amoxicillin,Syrup,Karnataka,MedPlus,138,37.7,339,5202.6,No
1016,2025-01-04,Azithromycin,Syrup,Tamil Nadu,Netmeds,17,48.33,272,821.61,No
1017,2025-01-05,Amoxicillin,Syrup,Gujarat,Apollo Pharmacy,490,73.46,96,35995.4,No
1018,2025-01-05,Insulin,Syrup,Gujarat,Netmeds,60,294.6,8,17676.0,No
1019,2025-01-05,Paracetamol,Tablet,Karnataka,Apollo Pharmacy,350,9.11,275,3188.5,No
1020,2025-01-05,Amoxicillin,Syrup,Karnataka,Netmeds,481,34.77,323,16724.37,No
1021,2025-01-06,Azithromycin,Tablet,Tamil Nadu,Netmeds,290,46.85,310,13586.5,No
1022,2025-01-06,Insulin,Injection,Maharashtra,Apollo Pharmacy,184,373.55,152,68733.2,No
1023,2025-01-06,Amoxicillin,Tablet,Maharashtra,MedPlus,192,41.51,93,7969.92,No
1024,2025-01-06,Paracetamol,Syrup,Delhi,MedPlus,201,9.85,174,1979.85,No
1025,2025-01-07,Paracetamol,Tablet,Gujarat,Netmeds,258,8.4,339,2167.2,No
1026,2025-01-07,Metformin,Tablet,Tamil Nadu,Netmeds,244,18.87,180,4604.28,No
1027,2025-01-07,Metformin,Tablet,Gujarat,MedPlus,92,11.74,17,1080.08,No
1028,2025-01-07,Azithromycin,Tablet,Tamil Nadu,MedPlus,102,81.52,189,8315.04,No
1029,2025-01-08,Amoxicillin,Capsule,Tamil Nadu,Wellness Forever,382,34.06,296,13010.92,No
1030,2025-01-08,Amoxicillin,Tablet,Tamil Nadu,MedPlus,403,78.02,166,31442.06,No
1031,2025-01-08,Metformin,Capsule,Gujarat,Netmeds,321,15.84,131,5084.64,No
1032,2025-01-08,Amoxicillin,Capsule,Karnataka,Apollo Pharmacy,277,62.4,252,17284.8,No
1033,2025-01-09,Amoxicillin,Syrup,Gujarat,MedPlus,426,82.8,-5,35272.8,Yes
1034,2025-01-09,Paracetamol,Tablet,Tamil Nadu,Wellness Forever,129,14.76,54,1904.04,No
1035,2025-01-09,Metformin,Tablet,Delhi,Wellness Forever,80,23.32,240,1865.6,No
1036,2025-01-09,Insulin,Injection,Maharashtra,Wellness Forever,26,231.08,380,6008.08,No
1037,2025-01-10,Metformin,Tablet,Tamil Nadu,Apollo Pharmacy,262,18.33,203,4802.46,No
1038,2025-01-10,Insulin,Tablet,Delhi,MedPlus,454,317.37,281,144085.98,No
1039,2025-01-10,Paracetamol,Syrup,Karnataka,MedPlus,131,19.91,393,2608.21,No
1040,2025-01-10,Azithromycin,Capsule,Tamil Nadu,MedPlus,389,92.95,346,36157.55,No
1041,2025-01-11,Amoxicillin,Injection,Delhi,Apollo Pharmacy,19,63.47,243,1205.93,No
1042,2025-01-11,Paracetamol,Tablet,Tamil Nadu,Apollo Pharmacy,296,15.96,-13,4724.16,Yes
1043,2025-01-11,Amoxicillin,Injection,Gujarat,Netmeds,325,57.91,68,18820.75,No
1044,2025-01-11,Azithromycin,Tablet,Delhi,Wellness Forever,335,44.81,140,15011.35,No
1045,2025-01-12,Azithromycin,Tablet,Gujarat,Wellness Forever,282,84.98,135,23964.36,No
1046,2025-01-12,Paracetamol,Capsule,Gujarat,MedPlus,315,19.36,160,6098.4,No
1047,2025-01-12,Azithromycin,Tablet,Delhi,Apollo Pharmacy,302,54.02,179,16314.04,No
1048,2025-01-12,Insulin,Tablet,Maharashtra,Apollo Pharmacy,219,322.5,91,70627.5,No
1049,2025-01-13,Azithromycin,Tablet,Delhi,MedPlus,455,56.07,118,25511.85,No
1050,2025-01-13,Amoxicillin,Capsule,Maharashtra,MedPlus,227,62.15,260,14108.05,No
1051,2025-01-13,Amoxicillin,Injection,Tamil Nadu,Netmeds,250,35.8,379,8950.0,No
1052,2025-01-13,Amoxicillin,Syrup,Tamil Nadu,Wellness Forever,383,57.02,336,21838.66,No
1053,2025-01-14,Amoxicillin,Injection,Delhi,Wellness Forever,473,75.37,364,35650.01,No
1054,2025-01-14,Insulin,Tablet,Tamil Nadu,Wellness Forever,209,236.89,139,49510.01,No
1055,2025-01-14,Metformin,Syrup,Karnataka,Netmeds,225,26.62,261,5989.5,No
